Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Hundred Regiments Offensive	North China	20 August–5 December 1940	Chinese victory	{{flagcountry|Republic of China (1912–1949)}}	Peng DehuaiZhu De	400,000	22,000ref name="autogenerated120"''Chinese-Soviet Relations, 1937&#8211;1945''; Garver, John W.; p. 120.&lt;/ref&gt;	{{flagcountry|Empire of Japan}}	Hayao Tada	{{flagicon|Empire of Japan|army}}	Several record from different sources1. Chinese Communist has two records: the first one is 12,645 killed and wounded, 281 POW. The second record: 20,645 killed and wounded, 281 POW refThese two records were both based on the same figure but separate to two different records for unknown reason&lt;/ref&gt;ref&#29579;&#20154;&#24191;&#12298;&#20851;&#20110;&#30334;&#22242;&#22823;&#25112;&#25112;&#32489;&#32479;&#35745;&#30340;&#20381;&#25454;&#38382;&#39064;&#12299;(Wang Renguang &lt;Issue of the basis of result statistics of Hundred Regiments Offensive &gt;),&#12298;&#25239;&#26085;&#25112;&#20105;&#30740;&#31350; (The Journal of Studies of China&#65287;s Resistance War Against Japan ISSN 1002-9575)&#12299;1993 issue 3, p. 243&lt;/ref&gt;2. Japanese military record: No figure about total casualties, 276 KIAs from 4th Independent Mixed Brigade.ref name="Asagumo Shinbun-sha p. 256"Senshi Sosho &#25903;&#37027;&#20107;&#22793;&#38520;&#36557;&#20316;&#25126;Shina Jihen Rikugun Sakusen&lt;3&gt;(Volume 88) Asagumo Shinbun-sha, July 1975 ASIN: B000J9D6AS, p. 256&lt;/ref&gt; 133 KIA and 31 MIA from 2nd Independent Mixed Brigade.ref&#12302;&#21271;&#25903;&#12398;&#27835;&#23433;&#25126;(1)&#12303;ASIN: B000J9E2P6, p. 316&lt;/ref&gt; 3. Western sources: 20,900 Japanese casualties and about 20,000 collaborator casualtiesref name="autogenerated120"4. Peng's estimate: 30,000 Japanese and collaboratorsref&#24429;&#24503;&#24576;&#33258;&#36848; (The Autobiography of Peng Dehuai) People's Press 1981 ASIN: B00B1TF388  p. 240&lt;/ref&gt;	https://en.wikipedia.org/wiki/Hundred_Regiments_Offensive
Central Hubei Operation	Central Hubei	25–30 November 1940	Chinese victory	{{flag|Republic of China (1912–49)|name|=|Republic of China}}	{{flagicon|Republic of China (1912–49)|army}}	5th War Area: River West Army Group, Right Army Group, Central Army Group	Unknown	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	Japanese Eleventh Army|11th Army: 3rd, 4th, 15th, 17th, 39th, 40th Divisions, 18th Independent Mixed Brigade	Over 5,000 KIA, 7,000-8,000 WIA	https://en.wikipedia.org/wiki/Central_Hubei_Operation
Battle of South Henan	South Henan	30 January – 1 March 1941	Chinese victory	{{flagicon|Republic of China (1912-49)}}	{{flagicon|Republic of China (1912-49)|army}}	5th War Area: 2nd, 31st, 33rd Army Groups, 2nd Army, 36th Corps, 15th Separate Brigade, 14th Artillery Regiment, 4th Separate Engineer Battalion	Unknown	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	11th Army: 3rd, 4th, 15th, 17th, 39th, 40th Divisions, 18th Independent Mixed Brigade, 3 Tank Regiments, 1 Separate Heavy Artillery Regiment, 100 Planes	Chinese source:  9,000 killed and woundedref name ="Article"Baike Baidu Encyclopedia Article: The Battle of South Henan http://baike.baidu.com/view/251289.htm&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_South_Henan
Western Hubei Operation	Western Hubei	March 1941	Chinese victory	{{flag|Republic of China (1912-49)|name|=|Republic of China}}	{{flagicon|Republic of China|army}}	River Defense Force: 26th Corps (32nd, 41st, 44th Divisions), 103rd Division	?	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	11th Army: 13th Division	?	https://en.wikipedia.org/wiki/Western_Hubei_Operation
Battle of Shanggao	Shanggao, Jiangxi	14 March – 9 April 1941	Chinese victory, Japanese offensive repelled	{{flagcountry|Republic of China (1912-49)}}	{{flagicon|Republic of China (1912-49)|army}}	100,000 troops in 11 division (military)|divisions	20,533 ref name=autogenerated1 	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	65,000 troops in 3 division (military)|divisions and 1 independent regiment, 40 armoured cars, 150 planesref name=autogenerated1http://www.huaxia.com/js/zzhg/2008/00744727.html &#19978;&#39640;&#20250;&#25112;&#8212;&#8212;&#30171;&#27516;&#26085;&#23495;&#24426;&#28851;&#21490;&#20876;&lt;!-- Bot generated title --&gt;]{{zh}}&lt;/ref&gt;	Chinese estimate:, 16,000 killedref name=military{{Cite web | url=http://military.china.com/zh_cn/dljl/krzz/01/11044207/20081215/15236231_3.html |title=&#24808;&#28872;&#30340;&#19978;&#39640;&#20043;&#25112;&#65306;&#22269;&#20891;&#29579;&#29260;74&#20891;&#30171;&#27516;&#20004;&#19975;&#26085;&#23495;(4) | trans-title=Ferocious Battle at Shanggao| language=zh}}&lt;/ref&gt;, 6,000 wounded, '''Total: 22,000 killed and wounded'''ref name=autogenerated1 , , Japanese estimate: ~5,500 troopsref{{cite book | author=&#20816;&#23798;&#35140;(Noboru Kojima)| title=&#26085;&#20013;&#25126;&#20105; &#12296;5&#12297;|trans-title="Sino-Japanese War 5"| edition=Paperback | publisher=&#25991;&#34269;&#26149;&#31179; | year=1988| pages=311-312 | isbn=978-4167141332}}{{ja}}&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Shanggao
Battle of South Shanxi	South Shanxi	7–27 May 1941	Japanese victory	{{flagicon|Republic of China (1912-49)}}	{{flagicon|Republic of China (1912-49)|army}}	180,000 troops in 8 armies		{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	100,000 troops in 6 division (military)|divisions, 3 brigades		https://en.wikipedia.org/wiki/Battle_of_South_Shanxi
Battle of Changsha (1941)	Changsha	6 September – 8 October 1941	Chinese victory	{{flag|Republic of China (1912–1949)|name|=|China}}	{{flagicon|Republic of China (1912–1949)|army}}	300,000 troops, 30 divisions, 631 artillery piecesrefhttp://ibiblio.org/hyperwar/Japan/Monos/pdfs/JM-179/JM-179.pdf JM-179] pp. 265&lt;/ref&gt;	UnknownrefHsu Long-hsuen and Chang Ming-kai, ''History of The Sino-Japanese War (1937&#8211;1945)'', 2nd Ed.,1971. Translated by Wen Ha-hsiung, Chung Wu Publishing; 33, 140th Lane, Tung-hwa Street, Taipei, Taiwan Republic of China.&lt;/ref&gt;	{{flag|Empire of Japan|name|=|Japan}}	{{flagicon|Empire of Japan|army}}	120,000 troops, 46 battalions, 326 artillery piecesrefhttp://ibiblio.org/hyperwar/Japan/Monos/pdfs/JM-179/JM-179.pdf JM-179] pp. 265&lt;/ref&gt;	13,000 dead and wounded, (Japanese source)ref name = "&#20013;&#22269;&#24944;&#38666;"https://books.google.com/books?hl=zh-CN&amp;id=u2AzAQAAIAAJ&amp;focus=searchwithinvolume&amp;q=%E6%AD%BB%E5%82%B7 &#26032;&#32862;&#35352;&#32773;&#12364;&#35486;&#12426;&#12388;&#12368;&#25126;&#20105; 16 &#20013;&#22269;&#24944;&#38666;] p. 18&lt;/ref&gt;, 48,000 killed and wounded, (Chinese source)ref&#22283;&#38450;&#37096;&#65306;&#25239;&#26085;&#25136;&#21490;&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Changsha_(1941)
Battle of Changsha (1942)	Changsha, Luo River (Hunan)	24 December 1941–15 January 1942	Chinese victory	{{flag|Republic of China (1912–49)|name|=|China}}	{{flagicon|Republic of China (1912–1949)|army}}	300,000 soldiers	29,217 killed and woundedref&#32705;&#37324;&#38525;&#12289;&#21338;&#20961;&#12289;&#24120;&#28982;&#33879;&#65292;&#12298;&#20013;&#22283;&#25239;&#26085;&#25136;&#29229;-&#27683;&#22767;&#23665;&#27827;&#12299;&#65292;&#21488;&#21271;&#24066;&#65306;&#30693;&#20853;&#22530;&#65292;2007&#24180;&lt;/ref&gt;	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	120,000 soldiersref name="ChinaBitter158"Hsiung, James Chieh; Levine, Steven I. ''China's Bitter Victory: The War with Japan, 1937&#8211;1945'', p. 158&lt;/ref&gt;600 pieces of artilleryref name="ChinaBitter158"200 aircraftref name="ChinaBitter158"	Japanese source: 1,591 killed, 4,412 woundedrefhttp://ibiblio.org/hyperwar/Japan/Monos/pdfs/JM-71/JM-71.PDF Japanese Monograph No. 71, Army Operations in China] pp. 76.&lt;/ref&gt;Chinese source: 56,000 killed and woundedref&#22283;&#38450;&#37096;&#65306;&#25239;&#26085;&#25136;&#21490;&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Changsha_(1942)
Zhejiang-Jiangxi campaign	Vicinity of Zhejiang,   Jiangxi	Mid May - Early September 1942	Tactical Japanese victory, Strategic Chinese victory	{{flagcountry|Republic of China (1912–49)}}	{{flagicon|Republic of China (1912–49)|army}}	300,000	70,000	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	180,000	36,000ref name="ww2db.com"http://ww2db.com/battle_spec.php?battle_id=287&lt;/ref&gt;	https://en.wikipedia.org/wiki/Zhejiang-Jiangxi_campaign
Battle of West Hubei	West Hubei	12 May - 3 June 1943	Tactical draw, Strategic Chinese victory	{{flagicon|Republic of China (1912-49)}}	{{flagicon|Republic of China (1912-49)|army}}	{{Citation needed|date|=|October 2017}}	60,000 troops	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	7 division (military)|divisions	25,830 troops	https://en.wikipedia.org/wiki/Battle_of_West_Hubei
Battle of Changde	Changde and vicinity	{{Start-date|November 2, 1943|November 2, 1943}}	Chinese defensive victoryref name="Doc"{{cite video|title=Documentary about the Battle of Changde|url=https://www.youtube.com/watch?v=JE4hm2A367I|via=You Tube}}&lt;/ref&gt;*Japanese capture the city, but later withdraw in January 1944ref name=H161 	{{flagicon|Republic of China (1912–49)}}	{{flagicon|Republic of China (1912–49)|army}}	~210,000	20,000	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	61,000	More than 11,000 dead and wounded (according to the diary record from Shunroku Hata who is the field marshal of Imperial Japanese Army)ref{{cite web|url=http://www.doc88.com/p-745036904.html|title= &#26157;&#21644;&#21313;&#19971;&#12289;&#20843;&#24180;&#30340;&#20013;&#22283;&#27966;&#36963;&#36557;|accessdate=16 September 2016}}&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Changde
Operation Ichi-Go	Henan, Hunan and Guangxi	19 April – 31 December 1944refDavison, John ''The Pacific War: Day By Day'', pg. 37, 106&lt;/ref&gt;	Japanese victory	{{flagcountry|Republic of China (1912–1949)}}	{{flagicon|Republic of China (1912–1949)|army}}	1,000,000refHsiung, China's Bitter Victory pg. 165&lt;/ref&gt;	310,000–700,000 casualtiesrefhttp://www.dtic.mil/dtic/tr/fulltext/u2/a272727.pdf Cox, 1980 pp. 2] Retrieved 9 March 2016&lt;/ref&gt;refSandler, Stanley. "World War II in the Pacific: an Encyclopedia" p. 431&lt;/ref&gt;refhttp://www.dtic.mil/dtic/tr/fulltext/u2/a272727.pdf Cox, 1980 pp. 2] Retrieved 9 March 2016&lt;/ref&gt;refSandler, Stanley. "World War II in the Pacific: an Encyclopedia" p. 431&lt;/ref&gt;	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	500,000 ,  15,000 vehicles,  6,000 artillery piecesrefhttp://memim.com/operation-ichi-go.html&lt;/ref&gt;,  800 tanks ,  100,000 horsesrefHastings, Retribution pg. 210&lt;/ref&gt;	~100,000 deadref name="&#20013;&#22269;&#24944;&#38666;"https://books.google.com/books?hl=zh-CN&amp;id=u2AzAQAAIAAJ&amp;focus=searchwithinvolume&amp;q=+%E6%88%A6%E6%AD%BB+%E6%88%A6%E7%97%85%E6%AD%BB] &#35352;&#32773;&#12364;&#35486;&#12426;&#12388;&#12368;&#25126;&#20105; 16 &#20013;&#22269;&#24944;&#38666; &#35501;&#22770;&#26032;&#32862;&#31038; (1983/2) P187&lt;/ref&gt;, heavy materiel lossesrefhttp://memim.com/operation-ichi-go.html "Operation Ichi-Go"] Retrieved 16 Nov. 2015&lt;/ref&gt;	https://en.wikipedia.org/wiki/Operation_Ichi-Go
Battle of Central Henan	Henan|Henan Province	17 April – 25 May 1944	Japanese victory	{{flag|Republic of China (1912–49)|name|=|Republic of China}}	{{flagicon|Republic of China (1912–49)|army}}	390,000		{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	140,000		https://en.wikipedia.org/wiki/Battle_of_Central_Henan
Battle of Changsha (1944)	Changsha and Hengyang	May 1944 - August 1944	Japanese victory	{{flag|Republic of China (1912–1949)|name|=|China}}	{{flagicon|Republic of China (1912–1949)|army}}	300,000 troops in eight army groups	90,000ref name="Article"Article about the Battle of Changsha and Hengyang http://hi.baidu.com/%BA%DA%B0%B5%B5%C4%BC%BE%BD%DA/blog/item/1a473c9695cb316255fb96d4.html&lt;/ref&gt;ref name=Article2Article about the Battle of Changsha and Hengyang http://www.techcn.com.cn/index.php?doc-view-42437.html&lt;/ref&gt; (17,000 in Hengyangref name="Documentary"ref name="Article3"Article about the Defense of Hengyang http://www.mod.gov.cn/hist/2009-07/22/content_4005845.htm&lt;/ref&gt;)	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	360,000 troops of the Eleventh Army (Japan)|11th Army	66,000ref name="Article"ref name=Article2 (Japanese claim: 19,000 in Hengyangref name="Documentary"Documentary about the Defense of Hengyang https://www.youtube.com/watch?v=hm5oI-hGpZw&lt;/ref&gt;)	https://en.wikipedia.org/wiki/Battle_of_Changsha_(1944)
Defense of Hengyang	Hengyang, Hunan province	June 22–August 8, 1944	Japanese Pyrrhic victory	{{flag|Republic of China (1912–1949)|name|=|Republic of China}}	{{flagicon|Republic of China (1912–1949)|army}}	10th corps, 17,000 menref name="Documentary"Documentary about the Defense of Hengyang https://www.youtube.com/watch?v=ZVCdhYzszoM&lt;/ref&gt;	4,700 KIAref name="Documentary"2,900 died of other causesref name="Article"Article about the Defense of Hengyang http://www.mod.gov.cn/hist/2009-07/22/content_4005845.htm&lt;/ref&gt;9,400 captured (including 8,000 injured)ref name="Article"3,100 civilian deathsref name="Article"	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	11th army, 110,000+ menref name="Documentary"	'''Japanese claim:''' 19,000 dead and woundedref name="Documentary"'''Chinese estimate:''' 48,000 dead and woundedref name="Article"	https://en.wikipedia.org/wiki/Defense_of_Hengyang
Battle of Guilin–Liuzhou	Vicinities of Guilin and Liuzhou, Guangxi	16 August - 24 November 1944	Japanese victory	{{Flagicon|Republic of China (1912-49)}}	{{Flagicon|Republic of China (1912-49)|army}}	200,000 troops, 217 planesref name="Source 1"	Japanese claim:,  5,665 killed, 13,151 capturedref name="Source 1"{{cite web|url=http://baike.baidu.com/view/247938.htm |title=&#26690;&#26611;&#20250;&#25112;_&#30334;&#24230;&#30334;&#31185; |publisher=Baike.baidu.com |date= |accessdate=2015-05-30}}&lt;/ref&gt;	{{Flag|Empire of Japan}}	{{Flagicon|Empire of Japan|army}}	160,000 troops, 150 planes, Numerous tanks and armoured cars, Naval support from 2nd China Expeditionary Fleetref name="Source 1"	13,400ref name="Source 1"	https://en.wikipedia.org/wiki/Battle_of_Guilin–Liuzhou
Battle of West Henan–North Hubei	West Henan, North Hubei	21 March – 11 May 1945	Tactical stalemate, Japanese operational  victory	{{flagicon|Republic of China (1912-49)}}	{{flagicon|Republic of China (1912-49)|army}}	5 armies, 4 airforce grup	?	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	7 division (military)|divisions, 5 brigades,  100+ tanks, 13 armoured cars, 1000+ vehicles	?	https://en.wikipedia.org/wiki/Battle_of_West_Henan–North_Hubei
Battle of West Hunan	West Hunan, near Zhijiang, Hubei|Zhijiang	9 April–7 June 1945	Allied victory	{{flagcountry|Republic of China (1912–49)}}	{{flagicon|Republic of China (1912–49)|army}}	110,000 in Hunan200,000 in total400 aircraft	{{flagicon|Republic of China (1912–49)}}	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	80,000ref name="wilson248"	'''Japanese figures:''' ~27,000 killed and wounded'''Chinese claim: '''12,498 killed, 23,307 woundedref name=site1http://military.china.com/zh_cn/history4/62/20050513/12309751.html&lt;/ref&gt;, , Total: 35,805	https://en.wikipedia.org/wiki/Battle_of_West_Hunan
