Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Adlertag	England and English Channel	13 August 1940ref name="Bungay 2000, p. 207"Bungay 2000, p. 207.&lt;/ref&gt;	British victoryref name="Bungay 2000, p211"Bungay 2000, p. 211.&lt;/ref&gt;	{{flag|United Kingdom}}	Hugh DowdingKeith ParkCharles Portal		-Fighter Command: 13 fighters (air)ref name="Bungay 2000, p371"Bungay 2000, p. 371.&lt;/ref&gt;1 fighter (ground)ref name="Bungay 2000, p211"Bungay 2000, p. 211.&lt;/ref&gt;3 fighter pilots killedref name="Bungay 2000, p211"Bungay 2000, p. 211.&lt;/ref&gt;RAF Bomber Command:11 bombers (air)ref name="Bungay 2000, p211"Bungay 2000, p. 211.&lt;/ref&gt;24 aircrew killedref name="Bungay 2000, p211"Bungay 2000, p. 211.&lt;/ref&gt;9 capturedref name="Donnelly 2004, p88&#8211;89"Donnelly 2004, pp. 88&#8211;89.&lt;/ref&gt;Other:47 miscellaneous aircraft (ground)ref name="Bungay 2000, p211"Bungay 2000, p. 211.&lt;/ref&gt;c. several hundred civiliansrefhttp://www.cwgc.org/find--war--dead.aspx?cpage=1 Note excluding 4 casualties from Australia; the Commonwealth War Graves Commission lists only 25 Civilian casualties 13 August 1940]&lt;/ref&gt;-	{{flag|Nazi Germany}}	Hermann GöringAlbert KesselringHugo Sperrle		47ref name="Bungay 2000, p371"Bungay 2000, p. 371.&lt;/ref&gt;refTaylor and Moyes 1968, p. 23.&lt;/ref&gt;–48ref name="Hough and Richards 2007, p162"Hough and Richards 2007, p. 162.&lt;/ref&gt; aircraft destroyed (air)39 severely damagedref name="Hough and Richards 2007, p162"circa 200 killed or captured including:44 killed 23 wounded at least 45 missingrefMason 1969, pp. 240&#8211;243.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Adlertag
The Hardest Day	Southern England and English Channel	18 August 1940	{{#tag:ref|The laurels for the day’s action went to the defenders. The aim of the Luftwaffe was to wear down the Fighter Command without suffering excessive losses in the process, and in this it had failed. It cost the attackers five aircrew killed, wounded, or taken prisoner, for each British pilot casualty. In terms of aircraft, it had cost the Luftwaffe five bombers and fighters for every three Spitfires and Hurricanes destroyed in the air or on the ground. If the battle continued at this rate the Luftwaffe would wreck Fighter Command, but it would come close to wrecking itself in the process.|ref| name="Price 2010, p. 229"|Price 2010, p. 229.||group|=|"Notes"}}	{{flagicon|United Kingdom}}	{{flagicon|United Kingdom}}		27ref name="Addison and Crang 2000, p. 59."Addison and Crang 2000, p. 59.&lt;/ref&gt;–34 fighters destroyedref name="Bungay 2000, p. 231."Bungay 2000, p. 231.&lt;/ref&gt;39 fighters damagedref name="Bungay 2000, p. 231."29 aircraft destroyed (ground)ref name="Bungay 2000, p. 231."including only eight fightersref name="Franks 1997, pp. 59&#8211;60"Franks 1997, pp. 59&#8211;60.&lt;/ref&gt;23 aircraft damaged (ground)ref name="Bungay 2000, p. 231."10 killedref name="Price 2010, p. 228."Price 2010, p. 228.&lt;/ref&gt;8 lightly woundedref name="Price 2010, p. 228."11 severely woundedref name="Price 2010, p. 228."	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}		69ref name="Bungay 2000, p. 231."–71ref name="Addison and Crang 2000, p. 59." aircraft destroyed31 aircraft damagedref name="Bungay 2000, p. 231."94 killedref name="Price 2010, p. 226."Price 2010, p. 226.&lt;/ref&gt;40 capturedref name="Price 2010, p. 226."25 woundedref name="Price 2010, p. 226."	https://en.wikipedia.org/wiki/The_Hardest_Day
Battle of Britain Day	London, England and English Channel	15 September 1940	British victoryrefMurray 1983, pp. 52&#8211;54&lt;/ref&gt;refHough and Richards 2007, p. 283.&lt;/ref&gt;	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	50,000 observersrefCollier 1980, p. 196.&lt;/ref&gt;630 fighter aircraftref name="Bungay 2000, p. 319."Bungay 2000, p. 319.&lt;/ref&gt;	29 aircraft destroyedref name="Terraine 1985, p. 211."Terraine 1985, p. 211.&lt;/ref&gt;, ~ 21 damagedref name="Price 1990, p. 106"Price 1990, p. 106.&lt;/ref&gt; 14ref name="Bungay 2000, p. 333."Bungay 2000, p. 333.&lt;/ref&gt;–16 killedref name="Terraine 1985, p. 211."14 woundedref name="Bungay 2000, p. 333."1 capturedref name="Bungay 2000, p. 333."	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	1,120 aircraft (620 fighters and 500 bombers)ref name="Bungay 2000, p. 319."	57refKillen 2003, p. 147.&lt;/ref&gt;–61ref name="Terraine 1985, p. 211." aircraft destroyed 20 severely damagedref name="Overy 2001, p. 86"Overy 2001, p. 86.&lt;/ref&gt;, 63–ref name="Price 1990, pp. 154&#8211;163"Price 1990, pp. 154&#8211;163.&lt;/ref&gt; 81 killedref name="Bungay 2000, p. 333."63ref name="Bungay 2000, p. 333."–65 capturedref name="Price 1990, pp. 154&#8211;163"30ref name="Price 1990, pp. 154&#8211;163"–31 woundedref name="Bungay 2000, p. 333."21 missingref name="Price 1990, pp. 154&#8211;163"	https://en.wikipedia.org/wiki/Battle_of_Britain_Day
Battle of Graveney Marsh	Graveney Marsh, Kent, England	27 September 1940	British victory	{{flagcountry|UK}}	Captain (British Army and Royal Marines)|Captain John Cantopher	1 Company	none	{{flag|Germany|Nazi}}	''Unteroffizier'' Fritz Ruhlandt	4 crew, aircraft machine guns	1 wounded  of 4 taken prisoner	https://en.wikipedia.org/wiki/Battle_of_Graveney_Marsh
The Blitz	United Kingdom	{{start and end dates|1940|9|7|1941|5|11|df|=|yes}}	-German strategic failure&lt;!---- See Template:Infobox military conflict for result criteria.----&gt;-	{{Flagcountry|United Kingdom}}	{{plainlist |* |flagicon|United Kingdom| '''Winston Churchill'''* |flagicon|United Kingdom| Hugh Dowding* |flagicon|United Kingdom| Frederick Pile* |flagicon|United Kingdom| Owen Tudor Boyd* |flagicon|United Kingdom| Sir Leslie Gossage}}		~40,000ref name="Richards 1954, p. 217."–43,000 civilians dead,ref name="Foot and Dear 2005, p. 109." ~46,000 injured figures for wounded possibly as high as 139,000ref name="Foot and Dear 2005, p. 109."	{{Flagcountry|Nazi Germany}}	{{plainlist |* |flagicon|Nazi Germany| '''Adolf Hitler'''* |flagicon|Nazi Germany| Hermann Göring* |flagicon|Nazi Germany| Hugo Sperrle* |flagicon|Nazi Germany| Albert Kesselring* |flagicon|Nazi Germany| Hans Jeschonnek}}		Unknown3,363 aircrew2,265 aircraft (Summer 1940&nbsp;– May 1941)ref name="Hooton 2010, p. 89."	https://en.wikipedia.org/wiki/The_Blitz
Channel Dash	English Channel	11–13 February 1942	German victory	{{flag|Nazi Germany}}	{{flagicon|Nazi Germany|naval}}	-2 battleships1 heavy cruiser6 destroyers14 torpedo boats26 E--boats32 bombers252 fighters-	2 battleships damaged1 destroyer damaged1 destroyer lightly damaged2 torpedo boats lightly damaged22 aircraft destroyed13 sailors dead2 sailors wounded23 aircrew killed	{{UK}}	{{flagicon|UK|naval}}	{{circa|450}}	1 destroyer severely damaged42 aircraft destroyed40 dead and missing21 wounded	https://en.wikipedia.org/wiki/Channel_Dash
Operation Donnerkeil	English Channel, North Sea and northern Nazi Germany|Germany	11–12 February 1942	German victory	{{Flag|United Kingdom}}	{{Flag icon|United Kingdom}}	~450 aircraft	41 aircraftref name="Hooton 1994, p. 116."Hooton 1994, p. 116.&lt;/ref&gt;	{{Flag|Nazi Germany}}	{{Flag icon|Nazi Germany}}	252 Bf 109 and Fw 190 fightersref name="Caldwell 1996, p. 204"Caldwell 1996, p. 204.&lt;/ref&gt;ref name="Weal 1996, p. 15."Weal 1996, p. 15.&lt;/ref&gt;30 Bf 110 Heavy fightersref name="Weal 1996, p. 15."Weal 1996, p. 15.&lt;/ref&gt;32 Dornier Do 217s	17 fighters5 bombers23 airmen killedref name="Hooton 1994, p. 116."Hooton 1994, p. 116.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Operation_Donnerkeil
St Nazaire Raid	{{coord|47|16|30|N|2|11|48|W|type:waterbody_scale:10000_region:FR|display|=|inline,title}}	28 March 1942	British victory*All objectives achieved*All targets destroyed	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	{{#tag:ref|Sources differ on the numbers. In the ''London Gazette'' account of the raid the Admiralty states there were 353 Royal Navy and 268 Commandos.|ref| name=after|{{London Gazette|issue=38086|date=30 September 1947|pages=4633–4640|supp=y}}||group|=|nb}}	HMS ''Campbeltown'' 169 dead *215 prisoners of war *1 Motor Gun Boat1 Motor Torpedo Boat13 Motor Launches1 Armstrong Whitworth Whitley1 Bristol Beaufighter	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	5,000 troops	Normandie dock360 dead ^2 Junkers 882 Tanker (ship)|Tankers2 Tugs	https://en.wikipedia.org/wiki/St_Nazaire_Raid
Battle of Berlin (RAF campaign)	Berlin, Nazi Germany	18 November 1943 – 31 March 1944	{{sfn|Guilmartin|2001|p|=|8}}	{{flag|United Kingdom}}	{{flagicon|UK}}		{{plainlist |* '''Bomber Command'''* 2,690 crewmen Killed in action|KIA "''over Berlin''"* nearly 1,000 POW* 500 aircraft|sfn|Oakman|2004| a 5.8% loss rate  }}	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}		{{plainlist |* ~4,000 killed* 10,000 injured* 450,000 homeless  }}	https://en.wikipedia.org/wiki/Battle_of_Berlin_(RAF_campaign)
Operation Overlord	Northern France	6 June&nbsp;– 30 August 1944	Allied victory	-{{plainlist |* '''Allies of World War II|Western Allies'''* |flag|United States|1912|* |flag|United Kingdom|* |flag|Canada|1921|* |flagicon|Free French| Free French Forces* |flagicon|Poland| Polish Armed Forces in the West|Polish Forces|sfn|Beevor|2009|p|=|82|* |flagicon|Free French| French Resistance* |flag|Australia|* |flagicon|Belgium| Free Belgian Forces|sfn|Williams|1988|p|=|x|* |flagicon|Czechoslovakia| Czechoslovak government--in--exile|Free Czechoslovak Forces|sfn|Beevor|2009|p|=|492|* |flagicon|Greece|royal| Greek government--in--exile|Free Greek Forces|sfn|US Navy website|* |flagicon|Luxembourg| Free Luxembourgish forces|Free Luxembourgish Forces|sfn|Luxembourg Army website|* |flagicon|Netherlands| Dutch government--in--exile|Free Dutch Forces|sfn|Williams|1988|p|=|x|* |flag|New Zealand|sfn|Beevor|2009|p|=|76|* |Flagicon|Norway| Nygaardsvold's Cabinet|Free Norwegian Forces|sfn|Beevor|2009|p|=|82|}}-	-{{plainlist |* |flagicon|United States|1912| Dwight D. Eisenhower(Supreme Allied Commander)* |flagicon|United Kingdom| Arthur Tedder, 1st Baron Tedder|Arthur Tedder(Deputy Supreme Allied Commander)* |flagicon|United Kingdom| Bernard Montgomery(Ground Forces Commander in Chief)* |flagicon|United Kingdom| Trafford Leigh--Mallory(Air Commander in Chief)* |flagicon|United Kingdom| Bertram Ramsay(Naval Commander in Chief)}}-	{{plainlist |* 1,452,000 troops (by 25 July)|efn|name|=|Allied strength|* 2,052,299 (by the end of August)|sfn|Badsey|1990|p|=|85|}}	{{plainlist |* 226,386 casualties|sfn|Tamelander|Zetterling|2003|p|=|341|efn|name|=|Allied air casualties|* 4,101 aircraft|sfn|Tamelander|Zetterling|2003|p|=|341|* ~4,000 tanks|sfn|Tamelander|Zetterling|2003|p|=|342|}}	{{flagcountry|Nazi Germany|1935}}	{{plainlist |* |flagicon|Nazi Germany|1935| Gerd von Rundstedt (''OB West|Oberbefehlshaber West'')* |flagicon|Nazi Germany|1935| Erwin Rommel (Army Group B)}}	{{plainlist |* 380,000 troops (by 23 July)|sfn|Zetterling|2000|p|=|32|&nbsp;– 1,000,000 (by the end of August)|sfn|Shulman|2007|p|=|192|* 2,200|sfn|Shulman|2007|p|=|192|&nbsp;– 2,500 tanks and assault guns|sfn|Wilmot|1997|p|=|434|sfn|Buckley|2006|pp|=|117–120|}}	{{plainlist |* 288,695|sfn|Zetterling|2000|p|=|77|* 2,127 aircraft|sfn|Tamelander|Zetterling|2003|pp|=|342–343|* ~2,200–2,400 tanks and assault guns lost|sfn|Wilmot|1997|p|=|434|}}	https://en.wikipedia.org/wiki/Operation_Overlord
Operation Overlord	Northern France	6 June&nbsp;– 30 August 1944	Allied victory	-{{plainlist |* '''Allies of World War II|Western Allies'''* |flag|United States|1912|* |flag|United Kingdom|* |flag|Canada|1921|* |flagicon|Free French| Free French Forces* |flagicon|Poland| Polish Armed Forces in the West|Polish Forces|sfn|Beevor|2009|p|=|82|* |flagicon|Free French| French Resistance* |flag|Australia|* |flagicon|Belgium| Free Belgian Forces|sfn|Williams|1988|p|=|x|* |flagicon|Czechoslovakia| Czechoslovak government--in--exile|Free Czechoslovak Forces|sfn|Beevor|2009|p|=|492|* |flagicon|Greece|royal| Greek government--in--exile|Free Greek Forces|sfn|US Navy website|* |flagicon|Luxembourg| Free Luxembourgish forces|Free Luxembourgish Forces|sfn|Luxembourg Army website|* |flagicon|Netherlands| Dutch government--in--exile|Free Dutch Forces|sfn|Williams|1988|p|=|x|* |flag|New Zealand|sfn|Beevor|2009|p|=|76|* |Flagicon|Norway| Nygaardsvold's Cabinet|Free Norwegian Forces|sfn|Beevor|2009|p|=|82|}}-	-{{plainlist |* |flagicon|United States|1912| Dwight D. Eisenhower(Supreme Allied Commander)* |flagicon|United Kingdom| Arthur Tedder, 1st Baron Tedder|Arthur Tedder(Deputy Supreme Allied Commander)* |flagicon|United Kingdom| Bernard Montgomery(Ground Forces Commander in Chief)* |flagicon|United Kingdom| Trafford Leigh--Mallory(Air Commander in Chief)* |flagicon|United Kingdom| Bertram Ramsay(Naval Commander in Chief)}}-	{{plainlist |* 1,452,000 troops (by 25 July)|efn|name|=|Allied strength|* 2,052,299 (by the end of August)|sfn|Badsey|1990|p|=|85|}}	{{plainlist |* 226,386 casualties|sfn|Tamelander|Zetterling|2003|p|=|341|efn|name|=|Allied air casualties|* 4,101 aircraft|sfn|Tamelander|Zetterling|2003|p|=|341|* ~4,000 tanks|sfn|Tamelander|Zetterling|2003|p|=|342|}}	{{flagcountry|Nazi Germany|1935}}	{{plainlist |* |flagicon|Nazi Germany|1935| Gerd von Rundstedt (''OB West|Oberbefehlshaber West'')* |flagicon|Nazi Germany|1935| Erwin Rommel (Army Group B)}}	{{plainlist |* 380,000 troops (by 23 July)|sfn|Zetterling|2000|p|=|32|&nbsp;– 1,000,000 (by the end of August)|sfn|Shulman|2007|p|=|192|* 2,200|sfn|Shulman|2007|p|=|192|&nbsp;– 2,500 tanks and assault guns|sfn|Wilmot|1997|p|=|434|sfn|Buckley|2006|pp|=|117–120|}}	{{plainlist |* 288,695|sfn|Zetterling|2000|p|=|77|* 2,127 aircraft|sfn|Tamelander|Zetterling|2003|pp|=|342–343|* ~2,200–2,400 tanks and assault guns lost|sfn|Wilmot|1997|p|=|434|}}	https://en.wikipedia.org/wiki/Operation_Overlord
Invasion of Normandy	Normandy, France	-6 June 1944 – mid--July 1944-	Allied victory: German army retreats south towards Paris	{{flag|United Kingdom}}	{{flagicon|United States|1912}}	1,332,000 (by 24 July)ref name="Tamelander, M 2004 p. 295"Tamelander, M, Zetterling, N (2004), ''Avg&#246;randes &#214;gonblick: Invasionen i Normandie''. Norstedts F&#246;rlag, p. 295&lt;/ref&gt;	'''by 24 July:'''≈120,000 casualtiesref name="Tamelander, M 2004 p. 295" 	{{flagcountry|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	{{Sfn|Zetterling|2000|p|=|32}}	'''by 24 July:'''113,059 casualtiesref name="Tamelander, M 2004 p. 295" 	https://en.wikipedia.org/wiki/Invasion_of_Normandy
Battle for Caen	Normandy, France	6 June – 6 August 1944	Allied victory	{{flag|United Kingdom}}	{{ubl|Flag icon|United Kingdom|Bernard Montgomery| Miles Dempsey}}	3 armoured divisions11 infantry divisions5 armoured brigades3 tank brigades	{{circa|50,539 casualties}}	{{flagcountry|Nazi Germany|1935}}	{{ubl|Flag icon|Nazi Germany|Erwin Rommel|Friedrich Dollmann|KIA|Paul Hausser|Leo Geyr von Schweppenburg|Sepp Dietrich}}	7 infantry divisions8 panzer divisions3 heavy tank battalions	{{efn|German casualties at Caen are unknown due to the loss of records. By 24 July German losses in Normandy were 113,059 (Tamelander, M, Zetterling, N (2004), ''Avgörandes Ögonblick: Invasionen i Normandie''. Norstedts Förlag, p. 295)}}	https://en.wikipedia.org/wiki/Battle_for_Caen
Operation Perch	Normandy, France	7–14 June 1944	German victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	1 armoured division2 infantry divisions2 armoured brigades		{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Germany|Nazi}}	3 panzer divisions1 infantry division1 heavy tank battalion		https://en.wikipedia.org/wiki/Operation_Perch
-Battle of Villers--Bocage-	-Villers--Bocage, Calvados|Villers--Bocage, France-	13 June 1944	-See Battle of Villers--Bocage#Aftermath|Aftermath section-	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	{{circa|60 tanks}}	~217 casualties23–27 tanks	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	-2 ad--hoc battle groupsElements of 1 German heavy tank battalion|heavy tank battalion31–41 tanks-	Unknown total casualties8–15 tanks	-https://en.wikipedia.org/wiki/Battle_of_Villers--Bocage-
Battle of Cherbourg	Normandy, France	6–30 June 1944	Allied victory	{{Flag|United States|1912}}	{{flagicon|United States|1912}}	Unknown	8,500 killed or missing:2,800 killed,5,700 missing,13,500 woundedTotal: 22,000 casualties	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	40000	-7,000 – 8,000 killed or missing30,000 capturedTotal: 37,000--38,000 casualties-	https://en.wikipedia.org/wiki/Battle_of_Cherbourg
Battle of Carentan	{{Coord|49|18|18|N|1|14|58|W|type:city|name|=|Battle of Carentan|display|=|inline,title}}	10–14 June 1944	U.S. victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}	11 airborne forces|airborne infantry battalions1 tank battalion1 mechanized infantry battalion		{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	2 parachute infantry battalions2 Ostlegionen|Ost infantry battalions2 panzergrenadier battalions1 panzer battalion with assault guns		https://en.wikipedia.org/wiki/Battle_of_Carentan
Battle of Bloody Gulch	Manoir de Donville, Méautis, Normandy, France	June 13, 1944	U.S. victory	{{flagicon|USA|1912}}	{{flagicon|USA|1912}}	3 parachute infantry regiments 60 tanks (2nd Armored Div.)ref name="Band of Brothers"	32 dead 73 wounded	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	1 parachute infantry battalion,  1 Waffen SS armored division	43 dead 89 wounded 2 tanks destroyed	https://en.wikipedia.org/wiki/Battle_of_Bloody_Gulch
Operation Epsom	West of Caen, Normandy, France	26–30 June 1944	See Operation Epsom#Aftermath|Aftermath section	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	2 infantry divisions1 armoured division1 armoured brigade1 tank brigade	4,020–4,900 casualties 150 tanks damaged or knocked out	{{flagcountry|Nazi Germany}}	{{flagicon|Germany|Nazi}}	-3 SS panzer divisions5 ad--hoc battle groups1 SS heavy tank battalion-	Over 3,000 casualties 125–126 tanks damaged or knocked out	https://en.wikipedia.org/wiki/Operation_Epsom
Operation Windsor	Carpiquet, Normandy, France	4–5 July 1944	Allied victory	{{flag|Canada|1921}}	{{flagicon|Canada|1921}}	4 Infantry Battalions1 Machine Gun Battalion2 Armoured Regiments	377 casualties, 17 tanks	{{flag|Nazi Germany|name|=|Nazi Germany}}	{{flagicon|Nazi Germany}}	1 battalion each from SS Panzergrenadier Regiments 26 and 1 1 ''Flak'' Battery15 tanks initially	{{circa|270 infantry}}	https://en.wikipedia.org/wiki/Operation_Windsor
Operation Charnwood	North of Caen, the city and Carpiquet, Normandy, France	8–9 July 1944	Allied victory	{{flag|United Kingdom|23px}}	{{flagicon|United Kingdom|23px}}	3 infantry divisionsref name="Trew32", 3 armoured brigadesref name="Trew32"	{{#tag:ref|Major Ellis, the British official campaign historian, states that about 80 tanks were either destroyed or put out of action during the operation.|ref| name="Ellis316"|group|=|nb}}	{{flagcountry|Nazi Germany|23px}}	{{flagicon|Nazi Germany|23px}}	{{#tag:ref|The 12th SS Panzer Division's tank strength on 7 July was 24 Panthers and 37 Panzer IVs.|ref| name="Trew35"|group|=|nb}}	{{#tag:ref|The 12th SS Panzer Division recorded the loss of 11 Panthers and 7 Panzer IVs.|ref| name="Trew46"|group|=|nb}}	https://en.wikipedia.org/wiki/Operation_Charnwood
Second Battle of the Odon	Normandy, France	15–17 July 1944	Indecisive	{{flagicon|United Kingdom}}	General Miles Dempsey	6 infantry divisions5 tank/armoured brigades	3,000–3,500	{{flagicon|Germany|Nazi}}	General Heinrich Eberbach	4 infantry divisions3 Panzer divisions1 heavy tank battalion	{{circa|2,000}}	https://en.wikipedia.org/wiki/Second_Battle_of_the_Odon
Operation Goodwood	Normandy, France	18–20 July 1944	See Operation Goodwood#Aftermath|Aftermath section	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	{{circa|1,100 tanks}}	3,474 casualties314 tanks	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	3 armoured divisions2 heavy tank battalions (377 tanks)4 infantry divisions	unknown total casualties2,000–2,500+ captured75–100 tanks	https://en.wikipedia.org/wiki/Operation_Goodwood
Operation Atlantic	Caen, France	July 18–20, 1944	See the 'Aftermath' section	{{flag|Canada|1921}}	{{flagicon|Canada|1921}}	2 Infantry divisions1 Armoured Brigade	1,349–1,965	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	2 Panzer divisions	Unknown	https://en.wikipedia.org/wiki/Operation_Atlantic
Battle of Verrières Ridge	{{convert|8|km|mi|abbr|=|on}}	19–25 July 1944	Nazi Germany|German defensive success	{{flag|Canada|1921}}	{{flagicon|Canada|1921}}	2 Infantry Divisions,1 Armoured Brigade	{{ref|casualties|a]}}	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	2 Panzer Divisionsremnants of 1 Panzer Division1 Infantry Division	{{ref|casualties|a]}}	https://en.wikipedia.org/wiki/Battle_of_Verrières_Ridge
Operation Spring	Verrières Ridge (8 km (5 miles) south of Caen), France	July 25–27, 1944	German tactical successAllied strategic victory	{{flag|Canada|1921}}	{{flagicon|Canada|1921}}	2 Infantry Division 2 Armoured Divisions1 Armoured Brigade	450 killed1,100 wounded	{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	3 Panzer Divisions	unknown	https://en.wikipedia.org/wiki/Operation_Spring
Operation Cobra	-Saint--Lô, Normandy, France-	25–31 July 1944	Allied victoryref name=Williams204ref name=Bercuson232	{{flag|United States|1912}}	{{flagicon|United Kingdom}}	8 infantry divisionsref name=strength3 armored divisionsref name=strength 2,451 tanks and tank destroyersref name="Zaloga, p.30"ref name= Hastings236ref name="Jackson113"	{{#tag:ref|Of which 700 were from VIII Corps,|ref|Green, p. 62|| and 600 from VII Corps, while the rest are from unknown specific other units.|ref|Pugsley, p. 53||group|=|nb}}	{{flag|Nazi Germany|name|=|Germany|1935}}	{{flagicon|Nazi Germany|1935}}	2 infantry divisionsref name=strength1 parachute divisionref name=strength4 understrength ''Panzer'' divisionsref name=strength1 ''Panzergrenadier'' divisionref name= strengthPugsley, p. 47&lt;/ref&gt;190 tanks and assault gunsref name=Hastings236ref name= "Jackson113"	~ 70 tanks and assault guns ref name="Stephen Napier, Armoured Campaign"Stephen Napier, Armoured Campaign&lt;/ref&gt;	https://en.wikipedia.org/wiki/Operation_Cobra
Operation Totalize	Normandy, France	8–9 August 1944	Allied victory	{{flag|Canada|1921}}	{{flagicon|Canada|1921}}	{{sfn|Hart|2004|p|=|23}}	{{efn|Michael Reynolds quoting Stanisław Maczek, places the Polish losses during the operation at 656 men.|sfn|Reynolds|2001|p|=|246| Copp wrote that Canadian losses included more than 600 men killed.|sfn|Copp|2004|p|=|211}}	{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	{{sfn|Hart|2004|p|=|32}}	{{efn|Copp states that German losses are estimated but did include 1,270 prisoners.|sfn|Copp|2004|p|=|211}}	https://en.wikipedia.org/wiki/Operation_Totalize
Operation Lüttich	Mortain, Normandy, France	7–13 August 1944	Allied victory	{{flag|United States|1912}}	Omar Bradley	5 Infantry Divisions3 Armored combat commandsNinth Air Force|USAAF Ninth Air ForceRAF Second Tactical Air Force	2,000–3,000 killed	{{flagcountry|Nazi Germany}}	Günther von Kluge	3 Panzer Divisions2 Infantry Divisions5 Panzer or Infantry kampfgruppe|battlegroups150 tanks and assault guns	unknown number of infantry  120 tanks and assault guns destroyed or damaged	https://en.wikipedia.org/wiki/Operation_Lüttich
Operation Tractable	North of Falaise, Calvados|Falaise, Normandy, France	14–21 August 1944	Allied victory	{{flagicon|Canada|1921}}	{{flagicon|Canada|1921}}	2 Infantry Divisions2 Armoured Divisions1 Armoured Brigade, 1 Tank Brigaderef name="Fortin68"Fortin, p. 68&lt;/ref&gt;	Canada: see #Casualties|Casualties sectionPoland: 1,441 casualties	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	1 SS ''Panzer'' Divisionremnants of 2 Infantry Divisions	Unknown	https://en.wikipedia.org/wiki/Operation_Tractable
Hill 262	Mont Ormel, northeast of Chambois	19–21 August 1944	Polish victoryref name=Williams204refHastings (2006), p. 306&lt;/ref&gt;	{{flag|Poland}}	{{flagicon|Poland}}	1,500 infantryref name=Reynolds200287~80 tanksref name=Reynolds200287	351 casualtiesref name=McGilvray54ref name=Reynolds200128011 tanksref name=McGilvray54ref name=Reynolds2001280	{{flagicon|Germany|Nazi}}	{{flagicon|Germany|Nazi}}	{{#tag:ref|Among others these included the 1st SS Panzer Division|1st SS, 2nd SS Panzer Division Das Reich|2nd SS, 9th SS Panzer Division Hohenstaufen|9th SS, 10th SS Panzer Division Frundsberg|10th SS, 12th SS Panzer Division|12th SS, 2nd Panzer Division|2nd and 116th Panzer Division|116th Panzer Divisions, and the 3rd Parachute Division (Germany)|3rd Parachute, 84th, 276th, 277th Infantry Division (Wehrmacht)|277th, 326th Infantry Division (Wehrmacht)|326th, 353rd and 363rd Infantry Divisions.|ref| name="Hastings303"|ref| name=McGilvray41|group|=|nb}}	{{#tag:ref|According to McGilvray, around 500 dead and 1,000 captured.|ref| name=McGilvray54|group|=|nb}}	https://en.wikipedia.org/wiki/Hill_262
Falaise Pocket	Normandy, France	12–21 August 1944	Decisive Allied victoryrefWilliams, p. 204&lt;/ref&gt;* Liberation of Paris	{{flag|United States|1912}}	{{flagicon|United Kingdom}}	up to 17 divisions	{{refn|From 8 until 21 August: 1,479 killed or died of wounds, 4,023 wounded or injured, and 177 captured.|ref|Stacey, p. 271||group|=|nb}}	{{flagcountry|Nazi Germany|1935}}	{{flagicon|Nazi Germany|1935}}	14–15 divisions	{{circa|60,000:}}	https://en.wikipedia.org/wiki/Falaise_Pocket
