CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE
50040510,CIPURA,BROOKLYN,1901,EMMONS AVE,11235,Turkish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,60,
50038063,NIGHT MARKET BBQ,QUEENS,4506,PARSONS BLVD,11355,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,71,
50045602,POLKA DOT,BROOKLYN,726,MANHATTAN AVE,11222,Polish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,61,
50003500,LUI'S THAI FOOD,MANHATTAN,128,E 4TH ST,10003,Thai,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,67,
40399739,"DUNKIN' DONUTS, BASKIN ROBBINS",QUEENS,6103,FLUSHING AVENUE,11378,Donuts,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,30,
50036814,PIPO'S RESTAURANT,MANHATTAN,166,E 118TH ST,10035,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,31,
50032737,KAM'S KITCHEN,QUEENS,21709,LINDEN BLVD,11411,Chinese,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,14,
40883586,EUREST DINING SERVICE (American Express),MANHATTAN,200,VESEY STREET,10285,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,81,
40965172,L'AILE OU LA CUISSE (L'A.O.C),MANHATTAN,314,BLEECKER ST,10014,French,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,43,
50049315,TBAAR,BROOKLYN,6317,8TH AVE,11220,"Juice, Smoothies, Fruit Salads",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,64,
50000711,THE MANHATTAN AT TIMES SQUARE,MANHATTAN,790,7TH AVE,10019,Caf̩/Coffee/Tea,Establishment re-closed by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,
50017257,PICK & PAY GYRO & PIZZA,MANHATTAN,30,LEXINGTON AVE,10010,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,39,
50042719,CHILLI,QUEENS,3756,74TH ST,11372,Indian,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,50,
40861669,NEW VICTORY RESTAURANT,BROOKLYN,4803,5 AVENUE,11220,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,62,
41408361,BEKY BAKERY AND COFFEE SHOP,QUEENS,3778,103 STREET,11368,Spanish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,63,
41463477,DUNKIN' DONUTS,STATEN ISLAND,770,FOREST AVENUE,10310,Donuts,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,53,
50042718,SEABREEZE FOOD,BROOKLYN,1562,RALPH AVE,11236,Caribbean,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,36,
50003763,UNCLE JIMMY'S PIZZA,QUEENS,4110,49TH ST,11104,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,39,
40782145,POPEYES LOUISIANA KITCHEN,BROOKLYN,702,ROCKAWAY AVENUE,11212,Chicken,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,47,
41641278,OLD COUNTRY BAGEL,QUEENS,16226,CROSS BAY BLVD,11414,Bagels/Pretzels,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,
50014192,LA POTENCIA RESTAURANT,BRONX,1898,JEROME AVE,10453,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,30,
50015997,CARIBBEAN STYLE BAKERY AND RESTAURANT,QUEENS,10903,LIBERTY AVE,11419,Caribbean,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19,
41294953,LA COCINA DE MAMA,QUEENS,5613,METROPOLITAN AVENUE,11385,Spanish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,52,
50005755,NEW SHUN HING CHINESE RESTAURANT,BROOKLYN,1111,Pennsylvania Ave,11207,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,53,
50043676,DELHI MASALA RESTAURANT,MANHATTAN,2077,ADAM CLAYTON POWELL JR BLVD,10027,Indian,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,44,
41528486,LEGEND BAR & RESTAURANT,MANHATTAN,88,7 AVENUE,10011,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,44,
41394237,GOLDEN CITY CHINESE RESTAURANT,MANHATTAN,423,9 AVENUE,10001,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,41,
50017455,NEST RESTAURANT & BAR,QUEENS,12517,101ST AVE,11419,Caribbean,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,46,
50018622,NEW STAR SEAFOOD RESTAURANT,BROOKLYN,6022,8TH AVE,11220,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,50,
41459659,T. K. KITCHEN,MANHATTAN,26,SAINT MARKS PLACE,10003,Asian,Establishment re-closed by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,
50060234,PRESTO PIZZA,MANHATTAN,126,LAFAYETTE ST,10013,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,66,
50011807,VILLA CASTILLO RESTAURANT CORP,BROOKLYN,1474,PITKIN AVE,11212,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,36,
50018532,ARTICHOKE BASILLE'S PIZZA,QUEENS,2256,31ST ST,11105,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,33,
41249363,ROASTING PLANT,MANHATTAN,81,ORCHARD STREET,10002,Caf̩/Coffee/Tea,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,50,
50061112,Island Roti & family,STATEN ISLAND,65,VICTORY BLVD,10301,Caribbean,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,61,Not Yet Graded
40365226,NOSTRAND DONUT SHOP,BROOKLYN,1449,NOSTRAND AVENUE,11226,Donuts,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,23,
50063995,NEW  STAR CHINESE RESTAURANT,BROOKLYN,2212,AVENUE X,11235,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,40,
40512172,THE ASTORIA WORLD MANOR,QUEENS,2522,_ASTORIA BOULEVARD,11102,American,Establishment re-closed by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,38,
50060981,BREAD & BUTTER,MANHATTAN,757,3RD AVE,10019,Delicatessen,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,36,
50043404,OAXACA TAQUERIA- MURRAY HILL,MANHATTAN,152,E 33RD ST,10016,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,38,
41321220,JOHNNY'S CAFE,QUEENS,6039,FRESH POND ROAD,11378,Polish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,45,
41303553,SILVER KRUST WEST INDIAN RESTAURANT,BROOKLYN,9001,AVENUE A,11236,Caribbean,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,84,
40944982,NEW GOOD TASTE CHINESE RESTAURANT,MANHATTAN,3371,BROADWAY,10031,Chinese,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11,
41293635,NO. 1 CHINESE KITCHEN,STATEN ISLAND,209,PORT RICHMOND AVE,10302,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,47,
50014586,FESTAC GRILL,BROOKLYN,263,HENDRIX ST,11207,African,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,30,
40511292,EL CASTILLO DE MADISON,MANHATTAN,207,MADISON STREET,10002,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Critical,55,
50003617,PI PIZZERIA,STATEN ISLAND,965,JEWETT AVE,10314,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,38,
50036787,A WIN XIN KITCHEN,BROOKLYN,615,WILSON AVE,11207,Chinese,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,9,
41427008,GORDON BENNETT,BROOKLYN,109,SOUTH    6 STREET,11249,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,35,
50033842,RU YI BROADWAY RESTAURANT,QUEENS,8334,BROADWAY,11373,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,80,
41691085,COFFEED,QUEENS,3718,NORTHERN BOULEVARD,11101,Caf̩/Coffee/Tea,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,60,
41373303,NEW KIM WEI KITCHEN,BROOKLYN,4201,8 AVENUE,11232,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,40,
41443726,MCKENNA'S PUB,MANHATTAN,250,WEST   14 STREET,10011,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,50,
41700508,ORANGE HUT,QUEENS,5317,BROADWAY,11377,Delicatessen,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,48,
50017092,HE LIN RESTAURANT,QUEENS,8311,BROADWAY,11373,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,56,
41224985,BENJAMIN STEAK HOUSE,MANHATTAN,52,EAST   41 STREET,10017,Steak,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,42,
50019120,NEW TOPAZ,MANHATTAN,127,W 56TH ST,10019,Thai,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,92,
50044413,LEILANY'S BAKERY,QUEENS,11402,JAMAICA AVE,11418,Bakery,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,37,
50017257,PICK & PAY GYRO & PIZZA,MANHATTAN,30,LEXINGTON AVE,10010,Pizza,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,6,
41373149,CAROL'S BUN,MANHATTAN,139,EAST BROADWAY,10002,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,51,
41664920,Q & L BAKERY,BROOKLYN,6516,11 AVENUE,11219,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,50,
41194745,GOLDEN PALACE GOURMET,QUEENS,14009,CHERRRY AVENUE,11355,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,35,
41513509,NEW WOK,BRONX,481,BROOK AVENUE,10455,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,30,
50005543,LAS PALMAS RESTAURANT,MANHATTAN,3891,BROADWAY,10032,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,52,
41209994,ALL STAR PIZZA,STATEN ISLAND,694,ARTHUR KILL ROAD,10308,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,34,
50038190,TASTY TASTY CHINESE,MANHATTAN,534,E 14TH ST,10009,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,44,
40398688,MASTER WOK,BROOKLYN,5100,KINGS PLAZA SHOPPING CT,11234,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,40,
41717146,WICHCRAFT,MANHATTAN,62,CHELSEA PIERS,10011,Sandwiches/Salads/Mixed Buffet,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,46,
50016995,LA PULPERIA,MANHATTAN,371,W 46TH ST,10036,Spanish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,54,
41317448,EL RANCHITO POBLANO RESTAURANT,BROOKLYN,1228,FLATBUSH AVENUE,11226,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,41,
41555664,MABAT,BROOKLYN,1809,EAST    7 STREET,11223,Jewish/Kosher,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,55,
41078099,ORIGINAL RAY'S PIZZA,MANHATTAN,811,LEXINGTON AVENUE,10065,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,48,
50070321,LA DONA DEL SABOR,BRONX,572,E 169TH ST,10456,Spanish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,65,Not Yet Graded
40948509,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,BROOKLYN,1936,RALPH AVENUE,11234,Caribbean,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,35,
41482729,PERIZIA CAFE  and  PIZZA,BROOKLYN,1626,EAST   16 STREET,11229,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,40,
50011559,NEW CITY,BROOKLYN,236,KNICKERBOCKER AVE,11237,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,33,
50004330,KFC,BROOKLYN,5223,5TH AVE,11220,Chicken,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,
41357926,EL PASO TAQUERIA,MANHATTAN,64,EAST   97 STREET,10029,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,48,
40394366,EMPIRE SZECHUAN NOODLE HOUSE,MANHATTAN,4041,BROADWAY,10032,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,42,
40385555,200 FIFTH AVENUE RESTAURANT & SPORTS BAR,BROOKLYN,200,5 AVENUE,11217,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,50,
50032907,LA CALETA RESTAURANT,STATEN ISLAND,155,LAFAYETTE AVE,10301,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,15,
40596246,GYRO KING,BRONX,2450,WALTON AVENUE,10468,Greek,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,
50014836,EL COCOTERO,MANHATTAN,228,W 18TH ST,10011,Spanish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,35,
41355257,CASTILLO ECUATORIANO RESTAURANT,BROOKLYN,4020,5 AVENUE,11232,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,94,
41193088,MOJITO'S,MANHATTAN,227,EAST  116 STREET,10029,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,41,
50036787,A WIN XIN KITCHEN,BROOKLYN,615,WILSON AVE,11207,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,47,
41624996,N.Y. TRACKS CAFE,BROOKLYN,1556,RALPH AVENUE,11236,Caribbean,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,
40394357,ABITINO'S PIZZA,MANHATTAN,733,2 AVENUE,10016,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,53,
41253814,U WAY,MANHATTAN,74,5 AVENUE,10011,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,82,
40388818,YAMA JAPANESE RESTAURANT',MANHATTAN,122,EAST   17 STREET,10003,Japanese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,96,
50011515,SZE'S GARDEN,QUEENS,201,CYPRESS AVE,11385,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,55,
41463915,BEANS AND VINES,MANHATTAN,4842,BROADWAY,10034,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,44,
41529756,CHIQUITA'S RESTAURANT,QUEENS,6059,MYRTLE AVENUE,11385,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,60,
40943621,REDD'S,BROOKLYN,511,GRAND STREET,11211,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,35,
41353598,NIO'S WEST INDIAN RESTAURANT & BAKERY,BROOKLYN,2702,CHURCH AVENUE,11226,Caribbean,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,10,
